word,kind,notes
away,common,obvious
cat,common,obvious
alive,common,obvious
next,common,obvious
flight,common,obvious
yeah,common,obvious
anymore,common,obvious
pray,common,obvious
obey,common,obvious
divine,common,obvious
adore,common,obvious
wicker,common,obvious
tv,common_ish,initialisms
cctv,rare,initialisms
okay,common,initialisms
ai,common_ish,initialisms
aol,rare,initialisms
al,rare,initialisms
api,rare_ish,initialisms
atm,rare_ish,initialisms
ba,rare,initialisms
bbc,rare,initialisms
ca,rare,initialisms
cbs,rare,initialisms
cnn,rare,initialisms
cu,rare,initialisms
dnc,rare,initialisms
ds,rare,initialisms
dvd,rare_ish,initialisms
er,rare,initialisms
et,rare_ish,initialisms
ex,common,initialisms
fm,rare,initialisms
fyi,rare,initialisms
nba,rare,initialisms
nbc,rare,initialisms
nfl,rare,initialisms
ni,rare,initialisms
npr,rare,initialisms
pdf,rare,initialisms
pga,rare,initialisms
pm,rare,initialisms
sms,rare,initialisms
uae,rare,initialisms
usb,rare,initialisms
vs,forbidden,initialisms
versus,common,initialisms
nato,common_ish,initialisms / four- and five-letter initialisms
hdtv,rare,initialisms / four- and five-letter initialisms
nasa,uncommon,initialisms / four- and five-letter initialisms
wifi,rare,initialisms / four- and five-letter initialisms
wi-fi,uncommon,initialisms / four- and five-letter initialisms
nafta,rare,initialisms / four- and five-letter initialisms
ascii,rare_ish,initialisms / four- and five-letter initialisms
scsi,rare,initialisms / four- and five-letter initialisms
http,rare_ish,initialisms / four- and five-letter initialisms
asean,rare,initialisms / four- and five-letter initialisms
aarp,rare_ish,initialisms / four- and five-letter initialisms
naacp,rare_ish,initialisms / four- and five-letter initialisms
imax,uncommon,initialisms / four- and five-letter initialisms
mips,uncommon,initialisms / four- and five-letter initialisms
oled,uncommon,initialisms / four- and five-letter initialisms
fifo,rare,initialisms / four- and five-letter initialisms
lifo,rare,initialisms / four- and five-letter initialisms
unix,common_ish,initialisms / four- and five-letter initialisms
apis,rare_ish,initialisms / four- and five-letter initialisms
sram,rare,initialisms / four- and five-letter initialisms
perl,rare,initialisms / four- and five-letter initialisms
noaa,rare,initialisms / four- and five-letter initialisms
umass,rare,initialisms / four- and five-letter initialisms
unhcr,rare,initialisms / four- and five-letter initialisms
scada,rare,initialisms / four- and five-letter initialisms
ciardi,rare,names
tuscaloosa,rare,names
bors,rare,names
matias,rare,names
soweto,forbidden,names
steinman,rare,names
vicker,rare,names
timmins,rare,names
phileas,forbidden,names
schwantes,forbidden,names
astray,common,uncommon but not rare
everyday,common,uncommon but not rare
faraway,common,uncommon but not rare
halfway,common,uncommon but not rare
risque,common,uncommon but not rare
underway,common,uncommon but not rare
renowned,common,uncommon but not rare
newfound,common,uncommon but not rare
shat,common,uncommon but not rare
bra,common,uncommon but not rare
daft,common,uncommon but not rare
evict,common,uncommon but not rare
flighty,common,uncommon but not rare
canned,common,uncommon but not rare
convex,common,uncommon but not rare
gasoline,common,uncommon but not rare
holy,common,uncommon but not rare
paroled,common,uncommon but not rare
saffron,common,uncommon but not rare
slacker,common,uncommon but not rare
trillion,common,uncommon but not rare
vanes,common,uncommon but not rare
chicanery,common,uncommon but not rare
combatants,common,uncommon but not rare
noncombatants,common_ish,uncommon but not rare
rapt,common,uncommon but not rare
sparkly,common,uncommon but not rare
splashy,common,uncommon but not rare
straightforward,common,uncommon but not rare
suicidal,common,uncommon but not rare
surgical,common,uncommon but not rare
tenuous,common,uncommon but not rare
tearful,common,uncommon but not rare
teary,common,uncommon but not rare
tasteless,common,uncommon but not rare
uncut,common,uncommon but not rare
viral,common,uncommon but not rare
wholehearted,common,uncommon but not rare
aground,common,uncommon but not rare
inbound,common,uncommon but not rare
dude,common,colloquial and slang
awesome,common,colloquial and slang
bummer,common,colloquial and slang
chill,common,colloquial and slang
sketchy,common,colloquial and slang
crappy,common,colloquial and slang
goofy,common,colloquial and slang
nerdy,common,colloquial and slang
snarky,common,colloquial and slang
quirky,common,colloquial and slang
freaky,common,colloquial and slang
cheesy,common,colloquial and slang
trashy,common,colloquial and slang
grumpy,common,colloquial and slang
feisty,common,colloquial and slang
badass,common,colloquial and slang
cranky,common,colloquial and slang
pizza,common,food and drink
sushi,common,food and drink
taco,common,food and drink
burrito,common,food and drink
burger,common,food and drink
pasta,common,food and drink
whiskey,common,food and drink
vanilla,common,food and drink
cinnamon,common,food and drink
garlic,common,food and drink
avocado,common,food and drink
chocolate,common,food and drink
alligator,common,common animals
cheetah,common,common animals
dolphin,common,common animals
flamingo,common,common animals
gator,common,common animals
gorilla,common,common animals
hedgehog,common,common animals
jellyfish,common,common animals
kangaroo,common,common animals
octopus,common,common animals
penguin,common,common animals
raccoon,common,common animals
porcupine,common,common animals
anxious,common,emotions and personality
cynical,common,emotions and personality
desperate,common,emotions and personality
eccentric,common,emotions and personality
furious,common,emotions and personality
gullible,common,emotions and personality
jealous,common,emotions and personality
paranoid,common,emotions and personality
nostalgic,common,emotions and personality
skeptical,common,emotions and personality
arrogant,common,emotions and personality
ecstatic,common,emotions and personality
acoustic,common,performing arts
ballad,common,performing arts
encore,common,performing arts
graffiti,common,performing arts
karaoke,common,performing arts
lullaby,common,performing arts
symphony,common,performing arts
algorithm,common,common science knowledge
satellite,common,common science knowledge
telescope,common,common science knowledge
molecule,common,common science knowledge
oxygen,common,common science knowledge
gravity,common,common science knowledge
bacteria,common,common science knowledge
alibi,common,crime and law
contraband,common,crime and law
extortion,common,crime and law
felony,common,crime and law
arson,common,crime and law
blackmail,common,crime and law
treason,common,crime and law
allergic,common,medical terms everyone knows
bruise,common,medical terms everyone knows
bruised,common,medical terms everyone knows
bruiser,common,medical terms everyone knows
bruisers,common_ish,medical terms everyone knows
bruising,common,medical terms everyone knows
unbruised,uncommon,medical terms everyone knows
dizzy,common,medical terms everyone knows
insomnia,common,medical terms everyone knows
migraine,common,medical terms everyone knows
concussion,common,medical terms everyone knows
pneumonia,common,medical terms everyone knows
absurd,common,sophisticated but widely known
clandestine,common,sophisticated but widely known
eloquent,common,sophisticated but widely known
flamboyant,common,sophisticated but widely known
grotesque,common,sophisticated but widely known
hypocrite,common,sophisticated but widely known
infamous,common,sophisticated but widely known
macabre,common,sophisticated but widely known
mediocre,common,sophisticated but widely known
outrageous,common,sophisticated but widely known
preposterous,common,sophisticated but widely known
sinister,common,sophisticated but widely known
treacherous,common,sophisticated but widely known
damn,common,profanity and insults
crap,common,profanity and insults
moron,common,profanity and insults
idiot,common,profanity and insults
bastard,common,profanity and insults
elbow,common,body parts and household objects
armpit,common,body parts and household objects
nostril,common,body parts and household objects
eyebrow,common,body parts and household objects
doorknob,common,body parts and household objects
dishwasher,common,body parts and household objects
microwave,common,body parts and household objects
toothbrush,common,body parts and household objects
avalanche,common,weather and natural disasters
blizzard,common,weather and natural disasters
drought,common,weather and natural disasters
tornado,common,weather and natural disasters
tsunami,common,weather and natural disasters
hurricane,common,weather and natural disasters
screech,common,sounds and textures
rumble,common,sounds and textures
sizzle,common,sounds and textures
crackle,common,sounds and textures
velvet,common,sounds and textures
velvety,common,sounds and textures
grit,common,sounds and textures
gritty,common,sounds and textures
slime,common,sounds and textures
slimy,common,sounds and textures
crunch,common,sounds and textures
crunchy,common,sounds and textures
rendezvous,common,french loanwords naturalized in english
chauffeur,common,french loanwords naturalized in english
silhouette,common,french loanwords naturalized in english
