# Spelling variants list
#
# Only add words that are the same in both meaning and pronunciation.
#
# These lexical (non-dialectal) variant pairs are also resolved automatically, using
# wordfreq Zipf to pick the dominant spelling (and the shorter -os form as a deterministic
# tiebreaker when neither side wins by ≥3×):
#  -oes/-os plural of -o nouns (heroes/heros, tomatoes/tomatos, aficionados/aficionadoes, etc.)
acknowledgment,acknowledgement
adaptor,adapter
advisor,adviser
airplane,aeroplane
airplanes,aeroplanes
aluminum,aluminium
ambience,ambiance
amok,amuck
analog,analogue
analogs,analogues
anemia,anaemia
anemic,anaemic
anesthesia,anaesthesia
annex,annexe
appall,appal
artifact,artefact
axe,ax
bank,banque
bologna,baloney
canceled,cancelled
canceling,cancelling
carburetor,carburettor
carburetors,carburettors
cesium,caesium
check,cheque
checkbook,chequebook
checker,chequer
checks,cheques
chili,chilli
cipher,cypher
ciphered,cyphered
ciphering,cyphering
ciphers,cyphers
commandant,comandante
commandants,comandantes
connection,connexion
connections,connexions
counselor,counsellor
cozy,cosy
curb,kerb
curbs,kerbs
defense,defence
defenses,defences
diarrhea,diarrhoea
disk,disc
disks,discs
distill,distil
distills,distils
doughnuts,donuts
doughnut,donut
draft,draught
drafts,draughts
enclose,inclose
encyclopedia,encyclopaedia
enology,oenology
enroll,enrol
enrollment,enrolment
enrollments,enrolments
eon,aeon
equaling,equalling
esophagus,oesophagus
estrogen,oestrogen
feces,faeces
fetal,foetal
fetid,foetid
fetus,foetus
fetuses,foetuses
flaky,flakey
flutist,flautist
flutists,flautists
fueling,fuelling
fulfill,fulfil
fulfills,fulfils
furor,furore
glycerin,glycerine
goddamn,goddam
gray,grey
gynecology,gynaecology
hematology,haematology
heme,haem
hemophilia,haemophilia
heinz,heinze
heroes,heros
homolog,homologue
homologs,homologues
impostor,imposter
ingrain,engrain
inquire,enquire
inquired,enquired
inquires,enquires
inquiring,enquiring
installment,instalment
installments,instalments
jail,gaol
jails,gaols
jewelry,jewellery
jeweler,jeweller
jewelers,jewellers
judgment,judgement
judgments,judgements
lambaste,lambast
lasagna,lasagne
leukemia,leukaemia
license,licence
licensed,licenced
licenses,licences
licensing,licencing
licorice,liquorice
likable,likeable
linchpin,lynchpin
lodgement,lodgment
lodgements,lodgments
maneuver,manoeuvre
maneuvered,manoeuvred
maneuvers,manoeuvres
marseilles,marseille
marvelous,marvellous
mike,mic
mister,mr
modeling,modelling
mold,mould
molds,moulds
mollusk,mollusc
mollusks,molluscs
molt,moult
molted,moulted
molting,moulting
molts,moults
monolog,monologue
monologs,monologues
movable,moveable
mustache,moustache
mustached,moustached
mustaches,moustaches
offense,offence
offenses,offences
okay,ok
omelet,omelette
omelets,omelettes
possum,opossum
ortholog,orthologue
orthopedic,orthopaedic
orthopedics,orthopaedics
pajamas,pyjamas
pedagog,pedagogue
pedagogs,pedagogues
pediatric,paediatric
pediatrics,paediatrics
pedophile,paedophile
pedophiles,paedophiles
pics,pix
pixilated,pixillated
plow,plough
plows,ploughs
practice,practise
practiced,practised
practices,practises
practicing,practising
pretense,pretence
pretenses,pretences
program,programme
programs,programmes
quarreled,quarrelled
quarreling,quarrelling
racket,racquet
routing,routeing
savanna,savannah
savory,savoury
signaled,signalled
signaling,signalling
skeptic,sceptic
skeptics,sceptics
skillful,skilful
smoky,smokey
story,storey
sulfur,sulphur
till,'til,til
tire,tyre
tires,tyres
ton,tonne
tons,tonnes
tranquility,tranquillity
traveled,travelled
traveler,traveller
traveling,travelling
vendor,vender
vendors,venders
versus,vs
vial,phial
vice,vyce
vices,vyces
whiskey,whisky
willful,wilful
wintry,wintery
woolen,woollen
woolly,wooly
yogurt,yoghurt
foregone,forgone
szechuan,sichuan
tehran,teheran
barbecue,barbeque
restaurateur,restauranteur
restaurateurs,restauranteurs
lindsey,lindsay
old,olde
medieval,mediaeval
sirree,siree
fueled,fuelled
refueled,refuelled
jeweled,jewelled
skillful,skilful
mama,mamma
papa,pappa
brian,bryan
you're,yer
fasciitis,fascitis
gases,gasses
guinness,guiness
okey-dokey,okeydokey
memento,momento
mementos,momentos
sweetie,sweety
amoeba,ameba
gasoline,gasolene
masturbate,masterbate
niece,neice
veggie,vegie
you're,youre,this is needed because 'youre' is in wiktionary :rolling_eyes:
hummus,houmous
googling,googleing
doggie,doggy
embarrassed,embarrased
shilling,schilling
shillings,schillings
he's,hes
here's,heres
how's,hows
she's,shes
that's,thats
there's,theres
what's,whats
when's,whens
where's,wheres
who's,whos
whys,why's
y'all's,y'alls,yall's,yalls
kaftan,caftan
chordate,cordate
dialogue,dialog
dialogues,dialogs
amtrak,amtrac,amtrack
absolutize,absolutise
etiology,aetiology
amaretto,amoretto
amenorrhea,amenorrhoea
annex,anex
bankshares,bancshares
breakthrough,breakthru
through,thru
bureaucrat,burocrat
catalog,catalogue
deejay,dj
grammies,grammys
coloring,colouring
papa,poppa
mama,momma
czar,tsar
cabbie,cabby
missus,mrs.,missis
mister,mr.
