# Spelling variants list
#
# Only add words that are the same in both meaning and pronunciation.
# Format: preferred_form alternate_form1 alternate_form2 ...
# Do not use '-' in this file. Hyphenated spellings (in-laws/inlaws, etc) are auto-merged.
# Also, the following US/UK spelling differences are handled automatically:
#  -ize/-ise (and -yze/-yse, -ization/-isation, -izer/-iser, etc.
#  -or/-our (color/colour, behavior/behaviour, favorite/favourite, etc.
#  -er/-re (center/centre, fiber/fibre, caliber/calibre, etc.)
#  -l-/-ll- consonant doubling before vowel-initial suffixes on verbs ending in -l
#    (barreled/barrelled, traveling/travelling, modeler/modeller, marvelous/marvellous, etc.)
#
# These lexical (non-dialectal) variant pairs are also resolved automatically, using
# wordfreq Zipf to pick the dominant spelling (and the shorter -os form as a deterministic
# tiebreaker when neither side wins by ≥3×):
#  -oes/-os plural of -o nouns (heroes/heros, tomatoes/tomatos, aficionados/aficionadoes, etc.)
acknowledgment acknowledgement
adaptor adapter
advisor adviser
airplane aeroplane
airplanes aeroplanes
aluminum aluminium
ambience ambiance
amok amuck
analog analogue
analogs analogues
anemia anaemia
anemic anaemic
anesthesia anaesthesia
annex annexe
appall appal
artifact artefact
axe ax
bank banque
bologna baloney
canceled cancelled
canceling cancelling
carburetor carburettor
carburetors carburettors
cesium caesium
check cheque
checker chequer
checks cheques
chili chilli
cipher cypher
ciphered cyphered
ciphering cyphering
ciphers cyphers
connection connexion
connections connexions
counselor counsellor
cozy cosy
curb kerb
curbs kerbs
defense defence
defenses defences
dialog dialogue
dialogs dialogues
diarrhea diarrhoea
disk disc
disks discs
distill distil
distills distils
doughnuts donuts
doughnut donut
draft draught
drafts draughts
enclose inclose
encyclopedia encyclopaedia
enology oenology
enroll enrol
enrollment enrolment
enrollments enrolments
eon aeon
equaling equalling
esophagus oesophagus
estrogen oestrogen
feces faeces
fetal foetal
fetid foetid
fetus foetus
fetuses foetuses
flaky flakey
flutist flautist
flutists flautists
fueling fuelling
fulfill fulfil
fulfills fulfils
furor furore
glycerin glycerine
goddamn goddam
gray grey
gynecology gynaecology
hematology haematology
heme haem
hemophilia haemophilia
heroes heros
homolog homologue
homologs homologues
impostor imposter
ingrain engrain
inquire enquire
inquired enquired
inquires enquires
inquiring enquiring
installment instalment
installments instalments
jail gaol
jails gaols
jewelry jewellery
jeweler jeweller
jewelers jewellers
judgment judgement
judgments judgements
lambaste lambast
lasagna lasagne
leukemia leukaemia
license licence
licensed licenced
licenses licences
licensing licencing
licorice liquorice
likable likeable
linchpin lynchpin
lodgement lodgment
lodgements lodgments
maneuver manoeuvre
maneuvered manoeuvred
maneuvers manoeuvres
marvelous marvellous
mike mic
mister mr
modeling modelling
mold mould
molds moulds
mollusk mollusc
mollusks molluscs
molt moult
molted moulted
molting moulting
molts moults
monolog monologue
monologs monologues
movable moveable
mustache moustache
mustached moustached
mustaches moustaches
offense offence
offenses offences
okay ok
omelet omelette
omelets omelettes
opossum possum
ortholog orthologue
orthopedic orthopaedic
orthopedics orthopaedics
pajamas pyjamas
pedagog pedagogue
pedagogs pedagogues
pediatric paediatric
pediatrics paediatrics
pedophile paedophile
pedophiles paedophiles
pics pix
pixilated pixillated
plow plough
plows ploughs
practice practise
practiced practised
practices practises
practicing practising
pretense pretence
pretenses pretences
program programme
programs programmes
quarreled quarrelled
quarreling quarrelling
racket racquet
routing routeing
savanna savannah
savory savoury
signaled signalled
signaling signalling
skeptic sceptic
skeptics sceptics
skillful skilful
smoky smokey
story storey
sulfur sulphur
till 'til til
tire tyre
tires tyres
ton tonne
tons tonnes
tranquility tranquillity
traveled travelled
traveler traveller
traveling travelling
vendor vender
vendors venders
versus vs
vial phial
vice vyce
vices vyces
whiskey whisky
willful wilful
wintry wintery
woolen woollen
woolly wooly
yogurt yoghurt
foregone forgone
szechuan sichuan
tehran teheran
barbecue barbeque
restaurateur restauranteur
restaurateurs restauranteurs
lindsey lindsay
shan't shant
old olde
medieval mediaeval
sirree siree
fueled fuelled
refueled refuelled
jeweled jewelled
skillful skilful
mama mamma
papa pappa
brian bryan
you're yer
fasciitis fascitis
gases gasses
guinness guiness
