context,word,kind,important,skip,notes
stop words,a,common,1,"",""
stop words,be,common,1,"",""
stop words,in,common,1,"",""
stop words,it,common,1,"",""
stop words,me,common,1,"",""
stop words,i,common,1,"",""
stop words,you,common,1,"",""
stop words,to,common,1,"",""
stop words,of,common,1,"",""
stop words,at,common,1,"",""
stop words,he,common,1,"",""
stop words,she,common,1,"",""
stop words,they,common,1,"",""
stop words,their,common,1,"",""
stop words,theirs,common,1,"",""
stop words,his,common,1,"",""
stop words,hers,common,1,"",""
stop words,yours,common,1,"",""
stop words,my,common,1,"",""
stop words,about,common,1,"",""
stop words,because,common,1,"",""
stop words,and,common,1,"",""
obvious,up,common,1,"",""
obvious,away,common,1,"",""
obvious,cat,common,1,"",""
obvious,alive,common,1,"",""
obvious,i've,common,1,"",""
obvious,next,common,1,"",""
obvious,around,common,1,"",""
obvious,flight,common,1,"",""
obvious,yeah,common,1,"",""
obvious,whatever,common,1,"",""
obvious,anymore,common,1,"",""
obvious,pray,common,1,"",""
obvious,obey,common,1,"",""
obvious,divine,common,1,"",""
obvious,adore,common,1,"",""
obvious,wicker,common,1,"",""
initialisms,tv,common_ish,1,"",""
initialisms,cctv,rare,1,"",""
initialisms,ok,forbidden,1,"",""
initialisms,okay,common,1,"",""
initialisms,ai,common_ish,1,"",""
initialisms,aol,rare,1,"",""
initialisms,al,rare,1,"",""
initialisms,api,rare_ish,1,"",""
initialisms,atm,rare_ish,1,"",""
initialisms,ba,rare,1,"",""
initialisms,bbc,rare,1,"",""
initialisms,ca,rare,1,"",""
initialisms,cbs,rare,1,"",""
initialisms,cnn,rare,1,"",""
initialisms,cu,rare,1,"",""
initialisms,dnc,rare,1,"",""
initialisms,ds,rare,1,"",""
initialisms,dvd,rare_ish,1,"",""
initialisms,er,rare,1,"",""
initialisms,et,rare_ish,1,"",""
initialisms,ex,common,1,"",""
initialisms,fe,rare,1,"",""
initialisms,fm,rare,1,"",""
initialisms,fyi,rare,1,"",""
initialisms,nba,rare,1,"",""
initialisms,nbc,rare,1,"",""
initialisms,nfl,rare,1,"",""
initialisms,ni,rare,1,"",""
initialisms,npr,rare,1,"",""
initialisms,pdf,rare,1,"",""
initialisms,pga,rare,1,"",""
initialisms,pm,rare,1,"",""
initialisms,sms,rare,1,"",""
initialisms,uae,rare,1,"",""
initialisms,usb,rare,1,"",""
initialisms,vs,forbidden,1,"",""
initialisms,versus,common,1,"",""
initialisms / four- and five-letter initialisms,nato,common_ish,1,1,""
initialisms / four- and five-letter initialisms,hdtv,rare,1,"",""
initialisms / four- and five-letter initialisms,nasa,uncommon,1,"",""
initialisms / four- and five-letter initialisms,wifi,rare,1,"",""
initialisms / four- and five-letter initialisms,wi-fi,uncommon,1,"",""
initialisms / four- and five-letter initialisms,nafta,rare,1,"",""
initialisms / four- and five-letter initialisms,ascii,rare_ish,1,"",""
initialisms / four- and five-letter initialisms,scsi,rare,1,"",""
initialisms / four- and five-letter initialisms,http,rare_ish,1,"",""
initialisms / four- and five-letter initialisms,asean,rare,1,"",""
initialisms / four- and five-letter initialisms,aarp,rare_ish,1,"",""
initialisms / four- and five-letter initialisms,naacp,rare_ish,1,"",""
initialisms / four- and five-letter initialisms,imax,uncommon,1,"",""
initialisms / four- and five-letter initialisms,mips,uncommon,1,"",""
initialisms / four- and five-letter initialisms,oled,uncommon,1,"",""
initialisms / four- and five-letter initialisms,fifo,rare,1,"",""
initialisms / four- and five-letter initialisms,lifo,rare,1,"",""
initialisms / four- and five-letter initialisms,unix,common_ish,1,1,""
initialisms / four- and five-letter initialisms,apis,rare_ish,1,"",""
initialisms / four- and five-letter initialisms,sram,rare,1,"",""
initialisms / four- and five-letter initialisms,perl,rare,1,"",""
initialisms / four- and five-letter initialisms,noaa,rare,1,"",""
initialisms / four- and five-letter initialisms,umass,rare,1,"",""
initialisms / four- and five-letter initialisms,unhcr,rare,1,"",""
initialisms / four- and five-letter initialisms,scada,rare,1,"",""
names,ciardi,rare,1,"",""
names,tuscaloosa,rare,1,"",""
names,bors,rare,1,"",""
names,matias,rare,1,"",""
names,soweto,forbidden,1,"",""
names,steinman,rare,1,"",""
names,vicker,rare,1,"",""
names,timmins,rare,1,"",""
names,phileas,forbidden,1,"",""
names,schwantes,forbidden,1,"",""
uncommon but not rare,astray,common,1,"",""
uncommon but not rare,everyday,common,1,"",""
uncommon but not rare,faraway,common,1,"",""
uncommon but not rare,halfway,common,1,"",""
uncommon but not rare,risque,common,1,"",""
uncommon but not rare,underway,common,1,"",""
uncommon but not rare,renowned,common,1,"",""
uncommon but not rare,newfound,common,1,"",""
uncommon but not rare,shat,common,1,"",""
uncommon but not rare,bra,common,1,"",""
uncommon but not rare,daft,common,1,"",""
uncommon but not rare,evict,common,1,"",""
uncommon but not rare,flighty,common,1,"",""
uncommon but not rare,canned,common,1,"",""
uncommon but not rare,convex,common,1,"",""
uncommon but not rare,gasoline,common,1,"",""
uncommon but not rare,holy,common,1,"",""
uncommon but not rare,paroled,common,1,"",""
uncommon but not rare,saffron,common,1,"",""
uncommon but not rare,slacker,common,1,"",""
uncommon but not rare,trillion,common,1,"",""
uncommon but not rare,vanes,common,1,"",""
uncommon but not rare,chicanery,common,1,"",""
uncommon but not rare,combatants,common,1,"",""
uncommon but not rare,noncombatants,common_ish,1,1,""
uncommon but not rare,rapt,common,1,"",""
uncommon but not rare,sparkly,common,1,"",""
uncommon but not rare,splashy,common,1,"",""
uncommon but not rare,straightforward,common,1,"",""
uncommon but not rare,suicidal,common,1,"",""
uncommon but not rare,surgical,common,1,"",""
uncommon but not rare,tenuous,common,1,"",""
uncommon but not rare,tearful,common,1,"",""
uncommon but not rare,teary,common,1,"",""
uncommon but not rare,tasteless,common,1,"",""
uncommon but not rare,uncut,common,1,"",""
uncommon but not rare,viral,common,1,"",""
uncommon but not rare,wholehearted,common,1,"",""
uncommon but not rare,aground,common,1,"",""
uncommon but not rare,inbound,common,1,"",""
colloquial and slang,dude,common,1,"",""
colloquial and slang,gonna,common,1,"",""
colloquial and slang,wanna,common,1,"",""
colloquial and slang,gotta,common,1,"",""
colloquial and slang,awesome,common,1,"",""
colloquial and slang,bummer,common,1,"",""
colloquial and slang,chill,common,1,"",""
colloquial and slang,sketchy,common,1,"",""
colloquial and slang,crappy,common,1,"",""
colloquial and slang,goofy,common,1,"",""
colloquial and slang,nerdy,common,1,"",""
colloquial and slang,snarky,common,1,"",""
colloquial and slang,quirky,common,1,"",""
colloquial and slang,freaky,common,1,"",""
colloquial and slang,cheesy,common,1,"",""
colloquial and slang,trashy,common,1,"",""
colloquial and slang,grumpy,common,1,"",""
colloquial and slang,feisty,common,1,"",""
colloquial and slang,badass,common,1,"",""
colloquial and slang,cranky,common,1,"",""
food and drink,pizza,common,1,"",""
food and drink,sushi,common,1,"",""
food and drink,taco,common,1,"",""
food and drink,burrito,common,1,"",""
food and drink,burger,common,1,"",""
food and drink,pasta,common,1,"",""
food and drink,whiskey,common,1,"",""
food and drink,vanilla,common,1,"",""
food and drink,cinnamon,common,1,"",""
food and drink,garlic,common,1,"",""
food and drink,avocado,common,1,"",""
food and drink,chocolate,common,1,"",""
common animals,alligator,common,1,"",""
common animals,cheetah,common,1,"",""
common animals,dolphin,common,1,"",""
common animals,flamingo,common,1,"",""
common animals,gator,common,1,"",""
common animals,gorilla,common,1,"",""
common animals,hedgehog,common,1,"",""
common animals,jellyfish,common,1,"",""
common animals,kangaroo,common,1,"",""
common animals,octopus,common,1,"",""
common animals,penguin,common,1,"",""
common animals,raccoon,common,1,"",""
