# StackProf object samples (interval=20)
# Frames under lib/rhymecrime/dict/ (project code):

==================================
  Mode: object(20)
  Samples: 15567506 (95.00% miss rate)
  GC: 0 (0.00%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
  15566668 (100.0%)           3   (0.0%)     Object#rebuild_rhymecrime_dictionaries
   6035118  (38.8%)           0   (0.0%)     Object#build_word_dict
   4720907  (30.3%)       28047   (0.2%)     Object#load_wiktionary
   4419979  (28.4%)      329887   (2.1%)     IpaToArpabet.convert
   3659342  (23.5%)       82446   (0.5%)     Object#add_frequency_info
   2280063  (14.6%)      115422   (0.7%)     Object#normalize_flat_arphabet_pronunciation
   1943835  (12.5%)      103455   (0.7%)     Inflect.each_derivable_form
   1941176  (12.5%)       59539   (0.4%)     Pronunciation#rime
   1874516  (12.0%)       13642   (0.1%)     Object#load_cmudict
   1821647  (11.7%)       59979   (0.4%)     Pronunciation#rime_array
   1579202  (10.1%)           0   (0.0%)     Object#filter_word_dict_disconnected!
   1514628   (9.7%)        9929   (0.1%)     Object#headword_has_nonidentical_rhyme_partner?
   1322782   (8.5%)      599988   (3.9%)     Pronunciation#rime_array_with_stress
   1252559   (8.0%)           1   (0.0%)     Object#compute_frequency
   1245813   (8.0%)       13553   (0.1%)     Object#preprocess_cmudict_line
    888256   (5.7%)       16047   (0.1%)     Object#morph_base_allows_plural_s?
    826792   (5.3%)           0   (0.0%)     Object#morph_derived_syllabified_pronunciation
    798172   (5.1%)      424095   (2.7%)     Pronunciation#with_dwimmed_schwas
    787084   (5.1%)        4172   (0.0%)     Object#merge_inflected_forms!
    773925   (5.0%)      461847   (3.0%)     Object#apply_shared_arphabet_phoneme_string_normalizations
    716375   (4.6%)      195306   (1.3%)     Object#wn_has_entry?
    716361   (4.6%)      582153   (3.7%)     Inflect.match_suffix_kind
    700244   (4.5%)       25625   (0.2%)     Pronunciation#rhyme_syllables_array
    698699   (4.5%)        9738   (0.1%)     Object#headword_identical_rhyme?
